Speed,Title,Date Expression,Date Expression 1,Date Expression 2,Date - begin,Date - end,Notes,Restrictions,Other identifying information,Duplicate Status,Audio Notes,Filename,Subject names
"3.75 ips, stereo 1/2 track","RJ 1 - Music for Auden's ""Age of Anxiety""",1955,1955,,1955,1955,Made for living theatre production.,,RJ 1,,"Tape had numerous broken splices, audio appears to be running backwards aaprox. 18' into the tape",MSS0180_B236_F01,
"3.75 ips, mono 1/2 track",RJ 1A -  Robin Prising Poetry Recital,1958 August 18,1958,August 18,1958,1958,"Extensive notes on original box. Featuring W.H. Auden, Dylan Thomas, Gerard M. Hopkins, and Henry Reed.",,RJ 1A,,,"MSS0180_B236_F02_1, MSS0180_B236_F02_2",
"7.5 ips, 1/2 mono track",RJ 2 - Age of Anxiety,1955,1955,,1955,1955,Extensive notes on original box.,,RJ 2,,,"MSS0180_B236_F03_1, MSS0180_B236_F03_2",
3.75 ips,RJ 3 - Agamemnon,circa 1956,,,1951,1961,"Performed at 965 Hoen. Featuring Vera Lachmann, Ben Schwartzberg, Jackson Mac Low, Electra Vize, etc.",,RJ 3,,,"MSS0180_B236_F04_1, MSS0180_B236_F04_2",
"7.5 ips, 1/2 mono track",RJ 4 - Agamemnon (Copy),circa 1956,,,1951,1961,Mono. Duplicate of RJ 3,,RJ 4,Dupe of RJ 3,,MSS0180_B236_F05,
"3.75 ips, mono 1/2 track",RJ 5 - Spontaneous Improvisation and Chance Poems,1959 June,1959,June,1959,1959,,,RJ 5,,,"MSS0180_B236_F06_1, MSS0180_B236_F06_2",
"7.5 ips, 1/2 mono track","RJ 6 - Agamemnon, Water I and Water II",1961 January 1,1961,January 1,1961,1961,,,RJ 6,,,"MSS0180_B236_F07_1, MSS0180_B236_F07_2",
"7.5 ips, 1/2 mono track","RJ 7 - Water I and II, Breath",1961 January 6,1961,January 6,1961,1961,"Performed in the Bronx, New York.",,RJ 7,,Distorted,MSS0180_B236_F08,
"3.75 ips, mono 1/2 track",The Long Hot Summer,1964 August,1964,August,1964,1964,,,,,,"MSS0180_B236_F09_1, MSS0180_B236_F08_2",
"7.5 ips, 1/2 mono track",RJ 8 - Chamber Music for Barney Childs,1964 October,1964,October,1964,1964,"Mono. Track 1: October 1964, Tucson. P. Middleton, flute; F. Eaton, clarinet; B. Tucker, oboe; P. Rehfeldt, bassoon. Track 2: January 1964, Tucson. Featuring Middleton, Tucker, Eaton, Rehfeldt. L. Veres on clarinet.",,RJ 8,,,"MSS0180_B236_F10_1, MSS0180_B236_F10_2",
"7.5 ips, 1/2 mono track","RJ 9 - NY Performance of ""Chamber Music for Barney Childs""",1964,1964,,1964,1964,May be first performance.,,RJ 9,,,MSS0180_B236_F11,
"7.5 ips, 1/2 mono track",RJ 10 - A Reading of Poems (Solo),1964,1964,,1964,1964,"Stereo. For Italian Radio. Poems from 1954, 1955, 1960, 1961, 1963, and 1964. Featuring Glass Buildings, 3rd Biblical Poem. ",,RJ 10,,,MSS0180_B236_F12,
"7.5 ips, 1/2 mono track",RJ 11 - The Long Hot Summer,1964 November,1964,November,1964,1964,"2nd performance. Philip Corner, trombone, percussion, and speech; Mac Low, recorder; Benjamin Patterson, contrabass; Charlotte Moorman, violincello; Malcolm Goldstein, violin; Nam June Paik, piano.",,RJ 11,,,"MSS0180_B236_F13_1, MSS0180_B236_F13_2",
"3.75 ips, mono 1/2 track",RJ 12 - Mac Low Reading at Brooklyn College,1965 July 29,1965,July 29,1965,1965,,,RJ 12,,Electrical hum,MSS0180_B236_F14,
"7.5 ips, 1/2 mono track",RJ 13 - Jackson Mac Low Reading De Paul Chicago,1965 June,1965,June,1965,1965,"Mono. Track 1: Reading JML Poems, Glass Buildings, 3rd Biblical Poem, 6 Gitanjali for Iris, Mark Twain 2nd Gatha (Nami Amida Butore), 2 Asymmetries 193 and 487, Presidents, Pronouns 1 and 2,  3 Short Duets, and Asymmetry 175. Track 2: Continuation of Asymmetry 175, Asymmetry 81, 5th Gatha, and The Prayer to the Gurus.",,RJ 13,,,"MSS0180_B236_F15_1, MSS0180_B236_F15_2",
"7.5 ips, 1/2 mono track","RJ 14 - The Text on the Opposite Page, performed at the Studio for Experimental Music, University of Illinois",1965,1965,,1965,1965,"Recorded by Max Neuhaus at the Studio for Experimental Music, University of Illinois. Labelled ""one and only master."" In metal can. ",,"RJ 14. Labelled ""one and only master."" In metal can.",,,MSS0180_B236_F16,
"Track 1, 3.75 ips. Track 2, 7.5 ips mono",RJ 18 - Fischbach Gallery Reading,1966 January 13,1966,January 13,1966,1966,"Track 1: Rochelle Owens reading. Track 2: Mac Low reading featuring 17 Haikus, a coda, and a dialog for Mike Quill; The Pronouns, dances 1 through 24; Jesus Have Mercy, assisted by David Audin, Paul Blackburn, and Jerome Rothenberg. Recorded at the Fischbach Gallery.",,RJ 18,,,"MSS0180_B236_F17_1, MSS0180_B236_F17_2","Jerome Rothenberg, Paul Blackburn"
"3.75 ips, mono 1/2 track",RJ 19 - Jackson Mac Low Reading at Hotel Chelsea,1966 February 28,1966,February 28,1966,1966,,,RJ 19,,,"MSS0180_B236_F18_1, MSS0180_B236_F18_2",
"3.75 ips, mono 1/2 track","RJ 20 - Corelli, Schonberg",1966 May 4,1966,May 4,1966,1966,"Also featuring Los Cantios de Santa Maria and 4th Gatha  - Corelli piece: Sonata in Bb major,opus 4 #9broadcast on WBAI,  Schonberg piece: Quartet #3, opus 30 performed by Julliard String Quartet, Schonberg Variations for Orchestra, opus 31,  < one more piece performed, but announcement too distorted to ID > broadcast on WRVR, (MSS0180_B236_F19_1) --  Schonberg piece: Quartet #4, opus 37 performed by Julliard String Quartet (MSS0180_B236_F19_2)",,RJ 20,,Electrical hum and overload distortion,"MSS0180_B236_F19_1, MSS0180_B236_F19_2",
"3.75 ips, stereo 1/2 track",RJ 21 - Poetry Discovered #60,1966 May 20,1966,May 20,1966,1966,"Stanzas for Iris Lezak at the end of the tape, featuring Jerome Rothenberg, Em Williams, David Audin, Spencer Holst, Mac Low, and Iris Lezak. Performance on WRVR Radio.",,RJ 21,,,MSS0180_B236_F20,"Jerome Rothenberg, Iris Lezak, Spencer Holst"
"3.75 ips, mono 1/2 track",RJ 22 - Jersey City State College Reading,1966 May,1966,May,1966,1966,"Track 1: Voices include Diane Wakozki, Mac Low, Vera Ladmam and Spencer Holst. Track 2: Paul Blackburn and Discussion. Tape appears to be in poor condition.",,RJ 22. Tape appears to be in poor condition.,,,"MSS0180_B236_F21_1, MSS0180_B236_F21_2","Diane Wakoski, Spencer Holst, Paul Blackburn"
"7.5 ips, 1/2 mono track","RJ 23 - Asymmetries 21-28, and the Battle of Danang",circa 1966,,,1961,1971,"Track 1: Asymmetries 21-23 and the Battle of Danang, Mac Low reading 21-28 with radio. Track 2: Asymmetries 24-28 and conclustion of the Battle of Danang.",,RJ 23.,,,"MSS0180_B236_F22_1, MSS0180_B236_F22_2",
"3.75 ips, mono 1/2 track",RJ 24 - Various poems and noises; 1st Asymmetry for Iris,1966 June 25-27,1966,June 25-27,1966,1966,"Track 1: Various recorded noises; 1961 August and 1966 May-June prerecordings of Mac Low poems accompanied by radio and environmental sounds. Track 2: Continuation, instrumental music. Track 3: Mac Low and radio; Mac Low reading 1st Asymmetry for Iris (1960) with noises.",,RJ 24.,,Electrical hum and overload distortion,"MSS0180_B236_F23_1, MSS0180_B236_F23_2",
"3.75 ips, mono 1/2 track",RJ 24A - Asymmetries 1-10,1966 June,1966,June,1966,1966,"Track 1: 2nd, 3rd, and 4th Asymmetries for Iris, with radio. Track 2: Continuation of 4th Asymmetry, Asymmetries 1-10 with radio. Tape appears to be in poor condition.",,RJ 24A. Tape appears to be in poor condition.,,Some audio bleed-through,MSS0180_B236_F24_1,
"3.75 ips, mono 2 track",RJ 25 - Asymmetries 11-20,1966 June,1966,June,1966,1966,Extensive notes on original box.,,RJ 25.,,,"MSS0180_B236_F25_1, MSS0180_B236_F25_2",
